_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,direction,b1,b2,direction_gold,e1,e2,relation,relex_relcos,sent_id,sentence,term1,term2,twrex
718434600,5/11/2015 11:08:47,1634019163,5/11/2015 11:07:55,false,clixsense,1.0,10798016,GBR,C7,Coventry,86.24.245.191,no_relation,77,61,,1,97,causes,0.729324957489473,814590-FS1-4,"• How would you characterize these symptoms (typical angina, ATYPICAL ANGINA NONANGINAL CHEST PAIN",NONANGINAL CHEST PAIN,ATYPICAL ANGINA,TWrex-cause
718434600,5/11/2015 11:14:27,1634020409,5/11/2015 11:14:08,false,neodev,0.875,14096345,NLD,03,Eibergen,77.174.124.109,no_relation,77,61,,1,97,causes,0.729324957489473,814590-FS1-4,"• How would you characterize these symptoms (typical angina, ATYPICAL ANGINA NONANGINAL CHEST PAIN",NONANGINAL CHEST PAIN,ATYPICAL ANGINA,TWrex-cause
718434600,5/11/2015 11:19:38,1634021552,5/11/2015 11:19:20,false,gifthunterclub,0.6667,31241093,GBR,Y1,Flint,2.127.1.248,no_relation,77,61,,1,97,causes,0.729324957489473,814590-FS1-4,"• How would you characterize these symptoms (typical angina, ATYPICAL ANGINA NONANGINAL CHEST PAIN",NONANGINAL CHEST PAIN,ATYPICAL ANGINA,TWrex-cause
718434600,5/11/2015 11:29:28,1634024026,5/11/2015 11:28:45,false,fusioncash,0.6875,31757234,USA,KY,London,76.177.136.50,no_relation,77,61,,1,97,causes,0.729324957489473,814590-FS1-4,"• How would you characterize these symptoms (typical angina, ATYPICAL ANGINA NONANGINAL CHEST PAIN",NONANGINAL CHEST PAIN,ATYPICAL ANGINA,TWrex-cause
718434600,5/11/2015 11:46:00,1634028005,5/11/2015 11:45:38,false,prodege,0.6619,29849805,GBR,Z1,Swansea,82.1.37.235,ATYPICAL ANGINA causes NONANGINAL CHEST PAIN,77,61,,1,97,causes,0.729324957489473,814590-FS1-4,"• How would you characterize these symptoms (typical angina, ATYPICAL ANGINA NONANGINAL CHEST PAIN",NONANGINAL CHEST PAIN,ATYPICAL ANGINA,TWrex-cause
718434600,5/11/2015 11:46:34,1634028172,5/11/2015 11:46:11,false,neodev,0.5595,12115558,USA,OH,Twinsburg,98.27.164.131,no_relation,77,61,,1,97,causes,0.729324957489473,814590-FS1-4,"• How would you characterize these symptoms (typical angina, ATYPICAL ANGINA NONANGINAL CHEST PAIN",NONANGINAL CHEST PAIN,ATYPICAL ANGINA,TWrex-cause
718434600,5/11/2015 11:47:19,1634028357,5/11/2015 11:47:06,false,neodev,0.7619,20961587,NLD,05,Maastricht,84.26.48.136,no_relation,77,61,,1,97,causes,0.729324957489473,814590-FS1-4,"• How would you characterize these symptoms (typical angina, ATYPICAL ANGINA NONANGINAL CHEST PAIN",NONANGINAL CHEST PAIN,ATYPICAL ANGINA,TWrex-cause
718434601,5/11/2015 10:14:54,1634004761,5/11/2015 10:14:34,false,instagc,1.0,13581319,USA,IL,Mount Vernon,66.232.166.86,BELL'S PALSY causes ACUTE FACIAL NERVE PARALYSIS,89,48,,1,116,causes,1,813382-FS1-4,edit] Infranuclear lesions [edit] Bell's palsy  BELL'S PALSY is the most common cause of ACUTE FACIAL NERVE PARALYSIS,ACUTE FACIAL NERVE PARALYSIS,BELL'S PALSY,TWrex-cause
718434601,5/11/2015 10:17:02,1634005409,5/11/2015 10:16:21,false,points4rewards,0.625,20113482,USA,OR,Portland,67.213.218.72,BELL'S PALSY causes ACUTE FACIAL NERVE PARALYSIS,89,48,,1,116,causes,1,813382-FS1-4,edit] Infranuclear lesions [edit] Bell's palsy  BELL'S PALSY is the most common cause of ACUTE FACIAL NERVE PARALYSIS,ACUTE FACIAL NERVE PARALYSIS,BELL'S PALSY,TWrex-cause
718434601,5/11/2015 10:23:13,1634007059,5/11/2015 10:22:53,false,instagc,0.7222,18531561,CAN,ON,Mississauga,99.229.92.227,BELL'S PALSY causes ACUTE FACIAL NERVE PARALYSIS,89,48,,1,116,causes,1,813382-FS1-4,edit] Infranuclear lesions [edit] Bell's palsy  BELL'S PALSY is the most common cause of ACUTE FACIAL NERVE PARALYSIS,ACUTE FACIAL NERVE PARALYSIS,BELL'S PALSY,TWrex-cause
