_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,b1,b2,confirmids1,confirmids2,e1,e2,factor1,factor2,firstfactor,saveselectionids1,saveselectionids2,secondfactor,sentence,wordid1,wordid2,orig_b1,orig_b2,orig_e1,orig_e2,exp_decision,relation,sent_id,orig_sentence,term1,term2
788193160,9/14/2015 16:30:57,1737968157,9/14/2015 16:30:34,false,instagc,1.0,26024737,GBR,H2,Preston,92.23.186.130,52,10,,,68,21,BRONCHIAL ASTHMA,ZAFIRLUKAST,"BRONCHIAL ASTHMA,",52-62,10,ZAFIRLUKAST,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action.",52 62,10,52,10,68,21,-1,RO-may_prevent,820301,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action",bronchial asthma,zafirlukast
788193160,9/14/2015 16:48:51,1737977215,9/14/2015 16:48:36,false,bitcoinget,1.0,21743413,USA,WA,Port Angeles,24.113.29.97,52,10,,,68,21,BRONCHIAL ASTHMA,ZAFIRLUKAST,"BRONCHIAL ASTHMA,",52-62,10,ZAFIRLUKAST,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action.",52 62,10,52,10,68,21,-1,RO-may_prevent,820301,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action",bronchial asthma,zafirlukast
788193160,9/14/2015 17:11:02,1737989302,9/14/2015 17:10:38,false,clixsense,1.0,29155723,GBR,I2,Manchester,89.240.74.4,52,10,,,68,21,BRONCHIAL ASTHMA,ZAFIRLUKAST,"treatment of BRONCHIAL ASTHMA,",39-49-52-62,10,ZAFIRLUKAST,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action.",52 62,10,52,10,68,21,-1,RO-may_prevent,820301,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action",bronchial asthma,zafirlukast
788193160,9/14/2015 17:12:13,1737989840,9/14/2015 17:11:24,false,gifthulk,1.0,18666417,USA,PA,Meadville,24.101.32.13,52,10,,,68,21,BRONCHIAL ASTHMA,ZAFIRLUKAST,"BRONCHIAL ASTHMA, which is attributed to peptide leukotriene",52-62-70-76-79-90-97-105,0-3-10-22-25-35-39-49-52-62,"As above, ZAFIRLUKAST is effective for treatment of bronchial asthma,","As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action.",52 62,10,52,10,68,21,-1,RO-may_prevent,820301,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action",bronchial asthma,zafirlukast
788193160,9/14/2015 17:16:05,1737991600,9/14/2015 17:15:53,false,instagc,1.0,13581319,USA,IL,Trenton,208.70.36.12,52,10,,,68,21,BRONCHIAL ASTHMA,ZAFIRLUKAST,"BRONCHIAL ASTHMA,",52-62,10,ZAFIRLUKAST,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action.",52 62,10,52,10,68,21,-1,RO-may_prevent,820301,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action",bronchial asthma,zafirlukast
788193160,9/14/2015 17:24:14,1737995968,9/14/2015 17:24:00,false,neodev,1.0,20306047,GBR,"","",80.41.0.252,52,10,,,68,21,BRONCHIAL ASTHMA,ZAFIRLUKAST,"BRONCHIAL ASTHMA,",52-62,10,ZAFIRLUKAST,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action.",52 62,10,52,10,68,21,-1,RO-may_prevent,820301,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action",bronchial asthma,zafirlukast
788193160,9/14/2015 17:31:42,1737999266,9/14/2015 17:31:32,false,inboxpounds,1.0,34449186,GBR,H9,London,82.23.2.74,52,10,,,68,21,BRONCHIAL ASTHMA,ZAFIRLUKAST,"BRONCHIAL ASTHMA,",52-62,10,ZAFIRLUKAST,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action.",52 62,10,52,10,68,21,-1,RO-may_prevent,820301,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action",bronchial asthma,zafirlukast
788193160,9/14/2015 17:41:13,1738004328,9/14/2015 17:41:01,false,neodev,1.0,11014811,GBR,G6,Hull,87.102.82.212,52,10,,,68,21,BRONCHIAL ASTHMA,ZAFIRLUKAST,"BRONCHIAL ASTHMA,",52-62,10,ZAFIRLUKAST,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action.",52 62,10,52,10,68,21,-1,RO-may_prevent,820301,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action",bronchial asthma,zafirlukast
788193160,9/14/2015 18:15:44,1738022225,9/14/2015 18:15:22,false,instagc,1,30929354,CAN,AB,Edmonton,142.244.5.52,52,10,,,68,21,BRONCHIAL ASTHMA,ZAFIRLUKAST,"BRONCHIAL ASTHMA, is peptide leukotriene antagonistic action.",52-62-76-97-105-117-130,10-52-62-97-105-117-130,"ZAFIRLUKAST bronchial asthma, peptide leukotriene antagonistic action.","As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action.",52 62,10,52,10,68,21,-1,RO-may_prevent,820301,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action",bronchial asthma,zafirlukast
788193160,9/14/2015 18:16:44,1738022882,9/14/2015 18:14:50,false,clixsense,1.0,33878524,CAN,BC,Princeton,75.156.83.71,52,10,,,68,21,BRONCHIAL ASTHMA,ZAFIRLUKAST,"BRONCHIAL ASTHMA,",52-62,10,ZAFIRLUKAST,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action.",52 62,10,52,10,68,21,-1,RO-may_prevent,820301,"As above, zafirlukast is effective for treatment of bronchial asthma, which is attributed to its peptide leukotriene antagonistic action",bronchial asthma,zafirlukast
