_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,b1,b2,confirmids1,confirmids2,e1,e2,factor1,factor2,firstfactor,saveselectionids1,saveselectionids2,secondfactor,sentence,wordid1,wordid2,orig_b1,orig_b2,baseline-decision,orig_e1,orig_e2,relation,sent_id,orig_sentence,term1,term2
724533665,5/21/2015 16:04:14,1640403534,5/21/2015 16:03:47,false,clixsense,1,30681826,GBR,I3,Rochester,86.163.150.232,138,83,,,150,95,OSTEOPOROSIS,TERIPARATIDE,postmenopausal OSTEOPOROSIS:,123-138,83,TERIPARATIDE,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial.",138,83,138,83,-1,150,95,TWrex-cause,800713,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial",osteoporosis,teriparatide
724533665,5/21/2015 16:08:20,1640406019,5/21/2015 16:07:55,false,instagc,1,32352104,USA,ME,Bangor,74.75.63.81,138,83,,,150,95,OSTEOPOROSIS,TERIPARATIDE,postmenopausal OSTEOPOROSIS:,123-138,71-83,Combination TERIPARATIDE,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial.",138,83,138,83,-1,150,95,TWrex-cause,800713,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial",osteoporosis,teriparatide
724533665,5/21/2015 16:12:58,1640408589,5/21/2015 16:12:22,false,points4rewards,1,28755767,USA,VA,Chester,68.57.118.32,138,83,,,150,95,OSTEOPOROSIS,TERIPARATIDE,postmenopausal OSTEOPOROSIS:,123-138,83,TERIPARATIDE,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial.",138,83,138,83,-1,150,95,TWrex-cause,800713,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial",osteoporosis,teriparatide
724533665,5/21/2015 16:14:00,1640409429,5/21/2015 16:13:43,false,points4rewards,1,20306700,USA,WA,Bothell,50.125.145.37,138,83,,,150,95,OSTEOPOROSIS,TERIPARATIDE,OSTEOPOROSIS:,138,83,TERIPARATIDE,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial.",138,83,138,83,-1,150,95,TWrex-cause,800713,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial",osteoporosis,teriparatide
724533665,5/21/2015 16:14:22,1640409628,5/21/2015 16:13:55,false,prodege,1,14848125,GBR,U8,Edinburgh,86.149.215.103,138,83,,,150,95,OSTEOPOROSIS,TERIPARATIDE,postmenopausal OSTEOPOROSIS:,123-138,71-83-96-100-111,Combination TERIPARATIDE and raloxifene therapy,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial.",138,83,138,83,-1,150,95,TWrex-cause,800713,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial",osteoporosis,teriparatide
724533665,5/21/2015 16:17:40,1640411624,5/21/2015 16:17:23,false,instagc,1,23287154,USA,CA,San Jose,130.65.251.20,138,83,,,150,95,OSTEOPOROSIS,TERIPARATIDE,postmenopausal OSTEOPOROSIS:,123-138,71-83-96-100-111,Combination TERIPARATIDE and raloxifene therapy,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial.",138,83,138,83,-1,150,95,TWrex-cause,800713,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial",osteoporosis,teriparatide
724533665,5/21/2015 16:18:36,1640412260,5/21/2015 16:18:26,false,instagc,1,31184650,USA,IA,West Des Moines,63.153.203.116,138,83,,,150,95,OSTEOPOROSIS,TERIPARATIDE,OSTEOPOROSIS:,138,83,TERIPARATIDE,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial.",138,83,138,83,-1,150,95,TWrex-cause,800713,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial",osteoporosis,teriparatide
724533665,5/21/2015 16:20:38,1640413583,5/21/2015 16:19:56,false,onestopgpt,1,21275875,CAN,ON,Hamilton,24.36.121.10,138,83,,,150,95,OSTEOPOROSIS,TERIPARATIDE,postmenopausal OSTEOPOROSIS:,123-138,83,TERIPARATIDE,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial.",138,83,138,83,-1,150,95,TWrex-cause,800713,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial",osteoporosis,teriparatide
724533665,5/21/2015 16:24:31,1640416266,5/21/2015 16:22:58,false,clixsense,1,22947672,GBR,,,88.144.127.68,138,83,,,150,95,OSTEOPOROSIS,TERIPARATIDE,postmenopausal OSTEOPOROSIS:,123-138,71-83-96-100-111,Combination TERIPARATIDE and raloxifene therapy,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial.",138,83,138,83,-1,150,95,TWrex-cause,800713,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial",osteoporosis,teriparatide
724533665,5/21/2015 16:25:14,1640416646,5/21/2015 16:24:47,false,prodege,1,27934334,GBR,D2,Derby,86.162.35.12,138,83,,,150,95,OSTEOPOROSIS,TERIPARATIDE,postmenopausal OSTEOPOROSIS:,123-138,83,TERIPARATIDE,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial.",138,83,138,83,-1,150,95,TWrex-cause,800713,"1]  Deal C, Omizo M, Schwartz EN, Eriksen EF, Cantor P, Wang J, et al. Combination teriparatide and raloxifene therapy for postmenopausal osteoporosis: results from a 6-month double-blind placebo-controlled trial",osteoporosis,teriparatide
