_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,b1,b2,confirmids1,confirmids2,e1,e2,factor1,factor2,firstfactor,saveselectionids1,saveselectionids2,secondfactor,sentence,wordid1,wordid2,orig_b1,orig_b2,orig_e1,orig_e2,exp_decision,relation,sent_id,orig_sentence,term1,term2
788659430,9/15/2015 10:25:09,1738656148,9/15/2015 10:24:56,false,neodev,1,20961587,NLD,5,Maastricht,84.26.48.136,143,219,,,146,227,ALS,RILUZOLE,ALS riluzole,143-219,219-143,ALS RILUZOLE,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4).,143,219,143,219,146,227,-1,RO-may_treat,820078,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4),ALS,riluzole
788659430,9/15/2015 10:31:53,1738657615,9/15/2015 10:31:37,false,prodege,1,14848125,GBR,V8,Airdrie,86.151.77.161,143,219,,,146,227,ALS,RILUZOLE,ALS,143,219,RILUZOLE,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4).,143,219,143,219,146,227,-1,RO-may_treat,820078,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4),ALS,riluzole
788659430,9/15/2015 10:33:31,1738658066,9/15/2015 10:33:10,false,meprizescf,1,28483210,USA,WI,Minocqua,75.143.134.247,143,219,,,146,227,ALS,RILUZOLE,riluzole ALS treatment of ALS,81-143-235-245-248,219-228-231-235-248,RILUZOLE in the treatment ALS,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4).,143,219,143,219,146,227,-1,RO-may_treat,820078,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4),ALS,riluzole
788659430,9/15/2015 10:37:08,1738658937,9/15/2015 10:37:02,false,neodev,1,33644825,USA,IL,Chicago,65.60.20.67,143,219,,,146,227,ALS,RILUZOLE,in patients with ALS may be of,126-129-138-143-147-151-154,197-208-216-219-228-231-235,biological effects of RILUZOLE in the treatment,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4).,143,219,143,219,146,227,-1,RO-may_treat,820078,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4),ALS,riluzole
788659430,9/15/2015 10:40:53,1738660028,9/15/2015 10:40:36,false,prodege,1,9169061,CAN,ON,Kitchener,99.235.192.130,143,219,,,146,227,ALS,RILUZOLE,ALS,143,219,RILUZOLE,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4).,143,219,143,219,146,227,-1,RO-may_treat,820078,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4),ALS,riluzole
788659430,9/15/2015 10:43:47,1738660724,9/15/2015 10:43:35,false,clixsense,1,21490235,GBR,N7,Woking,86.30.254.232,143,219,,,146,227,ALS,RILUZOLE,ALS,143,219,RILUZOLE,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4).,143,219,143,219,146,227,-1,RO-may_treat,820078,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4),ALS,riluzole
788659430,9/15/2015 10:51:28,1738662562,9/15/2015 10:49:36,false,points4rewards,1,28703583,USA,,,184.53.32.113,143,219,,,146,227,ALS,RILUZOLE,the ability of riluzole to retard ALS,70-78-81-90-93-143-66,126-129-138-143-219,in patients with ALS RILUZOLE,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4).,143,219,143,219,146,227,-1,RO-may_treat,820078,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4),ALS,riluzole
788659430,9/15/2015 10:54:24,1738663195,9/15/2015 10:54:04,false,neodev,1,33758777,USA,,,38.95.108.251,143,219,,,146,227,ALS,RILUZOLE,ALS,143,219,RILUZOLE,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4).,143,219,143,219,146,227,-1,RO-may_treat,820078,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4),ALS,riluzole
788659430,9/15/2015 10:56:38,1738663746,9/15/2015 10:56:25,false,points4rewards,1,20113482,USA,PA,Philadelphia,162.208.49.45,143,219,,,146,227,ALS,RILUZOLE,ALS,143,219,RILUZOLE,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4).,143,219,143,219,146,227,-1,RO-may_treat,820078,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4),ALS,riluzole
788659430,9/15/2015 10:59:36,1738664322,9/15/2015 10:58:49,false,clixsense,1,33115750,GBR,I3,Rochester,90.222.106.192,143,219,,,146,227,ALS,RILUZOLE,riluzole to retard the rate of neuronal loss in patients with ALS,81-90-93-100-104-109-112-121-126-129-143-138,197-208-216-219-228-231-235-248-252-245,biological effects of RILUZOLE in the treatment of ALS (4).,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4).,143,219,143,219,146,227,-1,RO-may_treat,820078,The outcome of magnetic resonance spectroscopic studies assessing the ability of riluzole to retard the rate of neuronal loss in patients with ALS may be of considerable interest in clarifying the biological effects of riluzole in the treatment of ALS (4),ALS,riluzole
