_unit_id,_created_at,_canary,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,relations,step_1_select_the_valid_relations,step_2a_copy__paste_only_the_words_from_the_sentence_that_express_the_relation_you_selected_in_step1,step_2b_if_you_selected_none_in_step_1_explain_why,b1,b2,e1,e2,expdec,rel-type,sent_id,sentence,term1,term2
503669127,7/16/2014 21:19:27,,1324485594,7/16/2014 21:19:09,instagc,1,24252915,GBR,B7,Bristol,77.98.139.82,[TREATS],[TREATS],was used in 73 patients with,N/A,41,0,58,11,1,RO-may_treat,908083-FS1,THALIDOMIDE was used in 73 patients with REFRACTORY MYELOMA in 15 of 45 institutes participating in the Japan Myeloma Study Group.,REFRACTORY MYELOMA,THALIDOMIDE
503669127,7/16/2014 21:20:08,,1324485922,7/16/2014 21:19:56,instagc,1,28301350,GBR,O4,Torquay,92.23.66.130,[TREATS],[TREATS],used in,N/A,41,0,58,11,1,RO-may_treat,908083-FS1,THALIDOMIDE was used in 73 patients with REFRACTORY MYELOMA in 15 of 45 institutes participating in the Japan Myeloma Study Group.,REFRACTORY MYELOMA,THALIDOMIDE
503669127,7/16/2014 21:20:33,,1324486053,7/16/2014 21:20:06,tremorgames,1.0,24449707,CAN,QC,Laval,96.21.249.72,[TREATS],[TREATS],was used in,N/A,41,0,58,11,1,RO-may_treat,908083-FS1,THALIDOMIDE was used in 73 patients with REFRACTORY MYELOMA in 15 of 45 institutes participating in the Japan Myeloma Study Group.,REFRACTORY MYELOMA,THALIDOMIDE
503669127,7/16/2014 21:23:53,,1324487504,7/16/2014 21:23:40,clixsense,1,27871219,NLD,07,Amsterdam,87.210.207.223,[TREATS],[TREATS],was used in,N/A,41,0,58,11,1,RO-may_treat,908083-FS1,THALIDOMIDE was used in 73 patients with REFRACTORY MYELOMA in 15 of 45 institutes participating in the Japan Myeloma Study Group.,REFRACTORY MYELOMA,THALIDOMIDE
503669127,7/16/2014 21:27:43,,1324489202,7/16/2014 21:27:20,clixsense,1.0,20614047,USA,MO,Maryville,174.32.162.147,[CAUSES],[CAUSES],THALIDOMIDE,asd,41,0,58,11,1,RO-may_treat,908083-FS1,THALIDOMIDE was used in 73 patients with REFRACTORY MYELOMA in 15 of 45 institutes participating in the Japan Myeloma Study Group.,REFRACTORY MYELOMA,THALIDOMIDE
503669127,7/16/2014 21:27:59,,1324489298,7/16/2014 21:27:27,neodev,1,21515166,NLD,11,Nootdorp,83.86.58.179,[PREVENTS],[PREVENTS],was used,N/A,41,0,58,11,1,RO-may_treat,908083-FS1,THALIDOMIDE was used in 73 patients with REFRACTORY MYELOMA in 15 of 45 institutes participating in the Japan Myeloma Study Group.,REFRACTORY MYELOMA,THALIDOMIDE
503669127,7/16/2014 21:28:32,,1324489512,7/16/2014 21:28:18,instagc,1,13763729,USA,"","",75.182.89.225,[TREATS],[TREATS],was used in,N/A,41,0,58,11,1,RO-may_treat,908083-FS1,THALIDOMIDE was used in 73 patients with REFRACTORY MYELOMA in 15 of 45 institutes participating in the Japan Myeloma Study Group.,REFRACTORY MYELOMA,THALIDOMIDE
503669127,7/16/2014 21:35:03,,1324492055,7/16/2014 21:34:46,tremorgames,1.0,19721342,CAN,ON,Ottawa,99.246.56.98,[DIAGNOSE_BY_TEST_OR_DRUG],[DIAGNOSE_BY_TEST_OR_DRUG],used,N/A,41,0,58,11,1,RO-may_treat,908083-FS1,THALIDOMIDE was used in 73 patients with REFRACTORY MYELOMA in 15 of 45 institutes participating in the Japan Myeloma Study Group.,REFRACTORY MYELOMA,THALIDOMIDE
503669127,7/16/2014 21:49:13,,1324497662,7/16/2014 21:48:39,elite,1,28276268,USA,TX,Houston,70.140.36.33,[TREATS] [DIAGNOSE_BY_TEST_OR_DRUG],"[TREATS]
[DIAGNOSE_BY_TEST_OR_DRUG]",was used in 73 patients with,[TREATS] [DIAGNOSE_BY_TEST_OR_DRUG],41,0,58,11,1,RO-may_treat,908083-FS1,THALIDOMIDE was used in 73 patients with REFRACTORY MYELOMA in 15 of 45 institutes participating in the Japan Myeloma Study Group.,REFRACTORY MYELOMA,THALIDOMIDE
503669127,7/16/2014 21:57:06,,1324500735,7/16/2014 21:56:45,gifthulk,1,21916793,GBR,"","",87.113.87.199,[TREATS],[TREATS],THALIDOMIDE was used in 73 patients with REFRACTORY MYELOMA,N/A,41,0,58,11,1,RO-may_treat,908083-FS1,THALIDOMIDE was used in 73 patients with REFRACTORY MYELOMA in 15 of 45 institutes participating in the Japan Myeloma Study Group.,REFRACTORY MYELOMA,THALIDOMIDE
