_unit_id,_created_at,_canary,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,relations,step_1_select_the_valid_relations,step_2a_copy__paste_only_the_words_from_the_sentence_that_express_the_relation_you_selected_in_step1,step_2b_if_you_selected_none_in_step_1_explain_why,b1,b2,e1,e2,expdec,rel-type,sent_id,sentence,term1,term2
502846206,7/13/2014 22:20:56,,1322206679,7/13/2014 22:20:47,instagc,1,25990856,USA,NV,Las Vegas,68.108.98.78,[MANIFESTATION],[MANIFESTATION],taken,n/a,169,96,177,125,1,RO-disease_has_finding,901923-FS1,Pap smears were reliable in screening for CIN; 75% of patients with CIN had high grade squamous INTRAEPITHELIAL LESION (HSIL) or LSIL in Pap smears taken at the time of DYSPLASIA,DYSPLASIA,INTRAEPITHELIAL LESION (HSIL)
502846206,7/13/2014 22:31:50,,1322216995,7/13/2014 22:29:51,clixsense,1,15189335,GBR,K3,Peterborough,81.156.166.189,[ASSOCIATED_WITH],[ASSOCIATED_WITH],taken at the time of,na,169,96,177,125,1,RO-disease_has_finding,901923-FS1,Pap smears were reliable in screening for CIN; 75% of patients with CIN had high grade squamous INTRAEPITHELIAL LESION (HSIL) or LSIL in Pap smears taken at the time of DYSPLASIA,DYSPLASIA,INTRAEPITHELIAL LESION (HSIL)
502846206,7/13/2014 22:37:29,,1322221787,7/13/2014 22:36:51,clixsense,1,19803139,NLD,11,Leiden,82.139.76.131,[LOCATION],[LOCATION],taken at,N/A,169,96,177,125,1,RO-disease_has_finding,901923-FS1,Pap smears were reliable in screening for CIN; 75% of patients with CIN had high grade squamous INTRAEPITHELIAL LESION (HSIL) or LSIL in Pap smears taken at the time of DYSPLASIA,DYSPLASIA,INTRAEPITHELIAL LESION (HSIL)
502846206,7/13/2014 22:40:59,,1322224849,7/13/2014 22:40:14,elite,1,28503042,USA,OK,Oakwood,64.250.220.169,[SYMPTOM],[SYMPTOM],75% of patients with INTRAEPITHELIAL LESION in Pap smears taken at the time of DYSPLASIA,N/A,169,96,177,125,1,RO-disease_has_finding,901923-FS1,Pap smears were reliable in screening for CIN; 75% of patients with CIN had high grade squamous INTRAEPITHELIAL LESION (HSIL) or LSIL in Pap smears taken at the time of DYSPLASIA,DYSPLASIA,INTRAEPITHELIAL LESION (HSIL)
502846206,7/13/2014 23:05:14,,1322245815,7/13/2014 23:04:20,prodege,1,15439740,AUS,02,Jannali,27.96.208.89,[PART_OF],[PART_OF],smears taken at the time,n/a,169,96,177,125,1,RO-disease_has_finding,901923-FS1,Pap smears were reliable in screening for CIN; 75% of patients with CIN had high grade squamous INTRAEPITHELIAL LESION (HSIL) or LSIL in Pap smears taken at the time of DYSPLASIA,DYSPLASIA,INTRAEPITHELIAL LESION (HSIL)
502846206,7/13/2014 23:18:37,,1322256852,7/13/2014 23:17:33,elite,1,28276268,USA,CA,San Diego,76.88.95.100,[DIAGNOSE_BY_TEST_OR_DRUG],[DIAGNOSE_BY_TEST_OR_DRUG],patients with CIN had high grade squamous,[DIAGNOSE_BY_TEST_OR_DRUG],169,96,177,125,1,RO-disease_has_finding,901923-FS1,Pap smears were reliable in screening for CIN; 75% of patients with CIN had high grade squamous INTRAEPITHELIAL LESION (HSIL) or LSIL in Pap smears taken at the time of DYSPLASIA,DYSPLASIA,INTRAEPITHELIAL LESION (HSIL)
502846206,7/13/2014 23:29:46,,1322265373,7/13/2014 23:29:18,clixsense,1,26770238,CAN,ON,London,209.183.157.27,[DIAGNOSE_BY_TEST_OR_DRUG],[DIAGNOSE_BY_TEST_OR_DRUG],screening,n/a,169,96,177,125,1,RO-disease_has_finding,901923-FS1,Pap smears were reliable in screening for CIN; 75% of patients with CIN had high grade squamous INTRAEPITHELIAL LESION (HSIL) or LSIL in Pap smears taken at the time of DYSPLASIA,DYSPLASIA,INTRAEPITHELIAL LESION (HSIL)
502846206,7/13/2014 23:34:01,,1322268710,7/13/2014 23:32:47,instagc,1,23149109,USA,NC,Durham,75.189.206.205,[MANIFESTATION] [SYMPTOM] [ASSOCIATED_WITH],"[SYMPTOM]
[MANIFESTATION]
[ASSOCIATED_WITH]",had high INTRAEPITHELIAL LESION (HSIL) or smears taken time of DYSPLASIA,N/A,169,96,177,125,1,RO-disease_has_finding,901923-FS1,Pap smears were reliable in screening for CIN; 75% of patients with CIN had high grade squamous INTRAEPITHELIAL LESION (HSIL) or LSIL in Pap smears taken at the time of DYSPLASIA,DYSPLASIA,INTRAEPITHELIAL LESION (HSIL)
502846206,7/13/2014 23:35:11,,1322269420,7/13/2014 23:34:08,clixsense,1,6365250,CAN,BC,Burnaby,70.79.16.165,[DIAGNOSE_BY_TEST_OR_DRUG],[DIAGNOSE_BY_TEST_OR_DRUG],squamous INTRAEPITHELIAL LESION Pap smears taken the time DYSPLASIA,diagnosed by test or drug,169,96,177,125,1,RO-disease_has_finding,901923-FS1,Pap smears were reliable in screening for CIN; 75% of patients with CIN had high grade squamous INTRAEPITHELIAL LESION (HSIL) or LSIL in Pap smears taken at the time of DYSPLASIA,DYSPLASIA,INTRAEPITHELIAL LESION (HSIL)
502846206,7/14/2014 00:43:06,,1322317910,7/14/2014 00:41:52,gifthulk,1,20382530,CAN,ON,Hamilton,216.209.129.186,[SYMPTOM],[SYMPTOM],high grade squamous in Pap smears taken at the time of,N/A,169,96,177,125,1,RO-disease_has_finding,901923-FS1,Pap smears were reliable in screening for CIN; 75% of patients with CIN had high grade squamous INTRAEPITHELIAL LESION (HSIL) or LSIL in Pap smears taken at the time of DYSPLASIA,DYSPLASIA,INTRAEPITHELIAL LESION (HSIL)
