_unit_id,_created_at,_canary,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,relations,step_1_select_the_valid_relations,step_2a_copy__paste_only_the_words_from_the_sentence_that_express_the_relation_you_selected_in_step1,step_2b_if_you_selected_none_in_step_1_explain_why,b1,b2,e1,e2,expertdecision,relation,sent_id,sentence,term1,term2
497187298,7/2/2014 13:52:24,,1312957258,7/2/2014 13:51:49,neodev,1,18755947,GBR,H2,Accrington,80.47.187.155,[ASSOCIATED_WITH],[ASSOCIATED_WITH],associated with,N/A,58,83,66,106,-1,RO-has_definitional_manifestation,904874,Management (in combination with other anticonvulsants) of SEIZURES associated with LENNOX-GASTAUT SYNDROME in adults and children ?2 years of age,SEIZURES,LENNOX-GASTAUT SYNDROME
497187298,7/2/2014 14:30:05,,1312982364,7/2/2014 14:29:53,fepcrowdflower,1,17940235,GBR,X5,Cardiff,176.252.22.6,[ASSOCIATED_WITH],[ASSOCIATED_WITH],associated with,N/A,58,83,66,106,-1,RO-has_definitional_manifestation,904874,Management (in combination with other anticonvulsants) of SEIZURES associated with LENNOX-GASTAUT SYNDROME in adults and children ?2 years of age,SEIZURES,LENNOX-GASTAUT SYNDROME
497187298,7/2/2014 15:40:01,,1313025280,7/2/2014 15:39:43,instagc,1,21838928,GBR,"","",31.51.188.207,[ASSOCIATED_WITH],[ASSOCIATED_WITH],SEIZURES associated with LENNOX-GASTAUT SYNDROME,N/A,58,83,66,106,-1,RO-has_definitional_manifestation,904874,Management (in combination with other anticonvulsants) of SEIZURES associated with LENNOX-GASTAUT SYNDROME in adults and children ?2 years of age,SEIZURES,LENNOX-GASTAUT SYNDROME
497187298,7/2/2014 16:21:27,,1313051684,7/2/2014 16:21:13,clixsense,1,19162475,GBR,M3,Frome,82.33.126.30,[ASSOCIATED_WITH],[ASSOCIATED_WITH],associated with,n/a,58,83,66,106,-1,RO-has_definitional_manifestation,904874,Management (in combination with other anticonvulsants) of SEIZURES associated with LENNOX-GASTAUT SYNDROME in adults and children ?2 years of age,SEIZURES,LENNOX-GASTAUT SYNDROME
497187298,7/2/2014 16:31:33,,1313058589,7/2/2014 16:31:10,prodege,1,7899370,USA,MI,Bay City,71.13.81.162,[ASSOCIATED_WITH],[ASSOCIATED_WITH],SEIZURES associated with LENNOX-GASTAUT SYNDROME,n/a,58,83,66,106,-1,RO-has_definitional_manifestation,904874,Management (in combination with other anticonvulsants) of SEIZURES associated with LENNOX-GASTAUT SYNDROME in adults and children ?2 years of age,SEIZURES,LENNOX-GASTAUT SYNDROME
497187298,7/2/2014 17:38:07,,1313111556,7/2/2014 17:37:48,prodege,1,18960400,GBR,H9,London,109.154.7.94,[SYMPTOM],[SYMPTOM],age,dsdssdsd,58,83,66,106,-1,RO-has_definitional_manifestation,904874,Management (in combination with other anticonvulsants) of SEIZURES associated with LENNOX-GASTAUT SYNDROME in adults and children ?2 years of age,SEIZURES,LENNOX-GASTAUT SYNDROME
497187298,7/2/2014 17:39:07,,1313112625,7/2/2014 17:38:36,prodege,1,17350748,CAN,ON,Cornwall,216.221.74.212,[ASSOCIATED_WITH],[ASSOCIATED_WITH],associated with,n/a,58,83,66,106,-1,RO-has_definitional_manifestation,904874,Management (in combination with other anticonvulsants) of SEIZURES associated with LENNOX-GASTAUT SYNDROME in adults and children ?2 years of age,SEIZURES,LENNOX-GASTAUT SYNDROME
497187298,7/2/2014 17:52:00,,1313126796,7/2/2014 17:51:28,tremorgames,1,17552229,GBR,H9,London,109.154.7.94,[LOCATION],[LOCATION],with,dsdsdsds,58,83,66,106,-1,RO-has_definitional_manifestation,904874,Management (in combination with other anticonvulsants) of SEIZURES associated with LENNOX-GASTAUT SYNDROME in adults and children ?2 years of age,SEIZURES,LENNOX-GASTAUT SYNDROME
497187298,7/2/2014 19:25:09,,1313215181,7/2/2014 19:24:45,prizezombie,1,19082757,USA,AL,Birmingham,138.26.152.5,[SYMPTOM],[SYMPTOM],associated with,NA,58,83,66,106,-1,RO-has_definitional_manifestation,904874,Management (in combination with other anticonvulsants) of SEIZURES associated with LENNOX-GASTAUT SYNDROME in adults and children ?2 years of age,SEIZURES,LENNOX-GASTAUT SYNDROME
497187298,7/2/2014 19:30:16,,1313220135,7/2/2014 19:29:56,instagc,1,13763729,USA,"","",75.182.89.225,[ASSOCIATED_WITH],[ASSOCIATED_WITH],SEIZURES associated with LENNOX-GASTAUT SYNDROME,N/A,58,83,66,106,-1,RO-has_definitional_manifestation,904874,Management (in combination with other anticonvulsants) of SEIZURES associated with LENNOX-GASTAUT SYNDROME in adults and children ?2 years of age,SEIZURES,LENNOX-GASTAUT SYNDROME
497187298,7/2/2014 21:46:30,,1313404073,7/2/2014 21:46:16,clixsense,1,27871219,NLD,07,Amsterdam,87.210.207.223,[ASSOCIATED_WITH],[ASSOCIATED_WITH],associated with,N/A,58,83,66,106,-1,RO-has_definitional_manifestation,904874,Management (in combination with other anticonvulsants) of SEIZURES associated with LENNOX-GASTAUT SYNDROME in adults and children ?2 years of age,SEIZURES,LENNOX-GASTAUT SYNDROME
497187298,7/2/2014 22:53:46,,1313453137,7/2/2014 22:53:36,neodev,1,21241714,CAN,ON,Kitchener,216.58.1.155,[ASSOCIATED_WITH],[ASSOCIATED_WITH],associated with,N/A,58,83,66,106,-1,RO-has_definitional_manifestation,904874,Management (in combination with other anticonvulsants) of SEIZURES associated with LENNOX-GASTAUT SYNDROME in adults and children ?2 years of age,SEIZURES,LENNOX-GASTAUT SYNDROME
497187298,7/2/2014 23:11:39,,1313465374,7/2/2014 23:09:33,prodege,1,17334212,CAN,NB,Fredericton,142.162.40.77,[SYMPTOM],[SYMPTOM],SEIZURES associated LENNOX-GASTAUT SYNDROME,N/A,58,83,66,106,-1,RO-has_definitional_manifestation,904874,Management (in combination with other anticonvulsants) of SEIZURES associated with LENNOX-GASTAUT SYNDROME in adults and children ?2 years of age,SEIZURES,LENNOX-GASTAUT SYNDROME
